CallNumber,Timestamp,PlannerName,HLActionInstance,ProblemFile,Success,PlannerTimeMs,TotalTimeMs,ActionsGenerated,PlanLength,Error
157,2026-07-01 12:22:47.135,FF,PickUpHL_b31_fp42_r1,Plannerinputs/generated/problemPickUpHL_b31_fp42_r1.pddl,True,294.41,345.48,2,0,
158,2026-07-01 12:22:47.884,FF,StackHL_b31_lp6_r1_pr2_lay6_m6,Plannerinputs/generated/problemStackHL_b31_lp6_r1_pr2_lay6_m6.pddl,True,299.91,330.06,2,0,
159,2026-07-01 12:22:48.622,FF,PickUpHL_b32_fp43_r1,Plannerinputs/generated/problemPickUpHL_b32_fp43_r1.pddl,True,298.38,341.67,2,0,
160,2026-07-01 12:22:49.363,FF,StackHL_b32_lp6_r1_pr2_lay6_m6,Plannerinputs/generated/problemStackHL_b32_lp6_r1_pr2_lay6_m6.pddl,True,306.51,355.58,2,0,
161,2026-07-01 12:22:50.147,FF,PickUpHL_b36_fp48_r1,Plannerinputs/generated/problemPickUpHL_b36_fp48_r1.pddl,True,309.58,357.07,2,0,
162,2026-07-01 12:22:50.912,FF,StackHL_b36_lp6_r1_pr2_lay6_m6,Plannerinputs/generated/problemStackHL_b36_lp6_r1_pr2_lay6_m6.pddl,True,304.10,346.03,2,0,
163,2026-07-01 12:22:51.659,FF,PickUpHL_b34_fp46_r1,Plannerinputs/generated/problemPickUpHL_b34_fp46_r1.pddl,True,305.87,358.90,2,0,
164,2026-07-01 12:22:52.423,FF,StackHL_b34_lp6_r1_pr2_lay6_m6,Plannerinputs/generated/problemStackHL_b34_lp6_r1_pr2_lay6_m6.pddl,True,303.35,349.23,2,0,
165,2026-07-01 12:22:53.166,FF,PickUpHL_b33_fp44_r1,Plannerinputs/generated/problemPickUpHL_b33_fp44_r1.pddl,True,295.60,345.69,2,0,
166,2026-07-01 12:22:53.908,FF,StackHL_b33_lp6_r1_pr2_lay6_m6,Plannerinputs/generated/problemStackHL_b33_lp6_r1_pr2_lay6_m6.pddl,True,297.51,338.48,2,0,
167,2026-07-01 12:22:54.670,FF,PickUpHL_b35_fp47_r1,Plannerinputs/generated/problemPickUpHL_b35_fp47_r1.pddl,True,314.52,374.28,2,0,
168,2026-07-01 12:22:55.492,FF,StackHL_b35_lp6_r1_pr2_lay6_m6,Plannerinputs/generated/problemStackHL_b35_lp6_r1_pr2_lay6_m6.pddl,True,322.81,368.14,2,0,
169,2026-07-01 12:22:56.308,FF,PickUpHL_b37_fp50_r1,Plannerinputs/generated/problemPickUpHL_b37_fp50_r1.pddl,True,295.69,348.66,2,0,
170,2026-07-01 12:22:57.078,FF,StackHL_b37_lp7_r1_pr3_lay7_m7,Plannerinputs/generated/problemStackHL_b37_lp7_r1_pr3_lay7_m7.pddl,True,297.80,353.56,2,0,
171,2026-07-01 12:22:57.837,FF,PickUpHL_b38_fp51_r1,Plannerinputs/generated/problemPickUpHL_b38_fp51_r1.pddl,True,304.85,352.19,2,0,
