CallNumber,Timestamp,PlannerName,HLActionInstance,ProblemFile,Success,PlannerTimeMs,TotalTimeMs,ActionsGenerated,PlanLength,Error
98,2026-07-01 15:02:16.880,FF,PickUpHL_b20_fp27_r1,Plannerinputs/generated/problemPickUpHL_b20_fp27_r1.pddl,True,266.26,349.17,3,0,
99,2026-07-01 15:02:17.373,LAMA-FIRST,PickUpHL_b6_fp8_r1,Plannerinputs/generated/problemPickUpHL_b6_fp8_r1.pddl,True,2946.90,3013.78,3,0,
100,2026-07-01 15:02:20.471,LAMA-FIRST,StackHL_b8_lp2_r1_pr2_lay2_m2,Plannerinputs/generated/problemStackHL_b8_lp2_r1_pr2_lay2_m2.pddl,True,4055.70,4096.36,2,0,
101,2026-07-01 15:02:25.060,FF,PickUpHL_b14_fp19_r1,Plannerinputs/generated/problemPickUpHL_b14_fp19_r1.pddl,True,266.18,323.20,2,0,
102,2026-07-01 15:02:25.453,FF,PickUpHL_b20_fp27_r1,Plannerinputs/generated/problemPickUpHL_b20_fp27_r1.pddl,True,261.31,337.00,2,0,
103,2026-07-01 15:02:25.975,LAMA-FIRST,PickUpHL_b6_fp8_r1,Plannerinputs/generated/problemPickUpHL_b6_fp8_r1.pddl,True,2913.41,2958.03,2,0,
104,2026-07-01 15:02:29.020,LAMA-FIRST,PickUpHL_b12_fp16_r1,Plannerinputs/generated/problemPickUpHL_b12_fp16_r1.pddl,True,2926.37,2968.21,2,0,
105,2026-07-01 15:02:32.530,FF,PickUpHL_b20_fp27_r1,Plannerinputs/generated/problemPickUpHL_b20_fp27_r1.pddl,True,264.78,328.82,3,0,
106,2026-07-01 15:02:33.012,LAMA-FIRST,PickUpHL_b6_fp8_r1,Plannerinputs/generated/problemPickUpHL_b6_fp8_r1.pddl,True,2883.11,2936.93,3,0,
107,2026-07-01 15:02:35.994,LAMA-FIRST,PickUpHL_b12_fp16_r1,Plannerinputs/generated/problemPickUpHL_b12_fp16_r1.pddl,True,2898.91,2942.92,3,0,
108,2026-07-01 15:02:39.016,FF,StackHL_b14_lp3_r1_pr3_lay3_m3,Plannerinputs/generated/problemStackHL_b14_lp3_r1_pr3_lay3_m3.pddl,True,267.69,341.11,2,0,
109,2026-07-01 15:02:39.890,FF,PickUpHL_b20_fp27_r1,Plannerinputs/generated/problemPickUpHL_b20_fp27_r1.pddl,True,275.87,338.48,2,0,
110,2026-07-01 15:02:40.413,LAMA-FIRST,PickUpHL_b6_fp8_r1,Plannerinputs/generated/problemPickUpHL_b6_fp8_r1.pddl,True,2907.01,2949.36,2,0,
111,2026-07-01 15:02:43.389,LAMA-FIRST,PickUpHL_b12_fp16_r1,Plannerinputs/generated/problemPickUpHL_b12_fp16_r1.pddl,True,2918.23,2968.92,2,0,
112,2026-07-01 15:02:46.400,FF,PickUpHL_b18_fp24_r1,Plannerinputs/generated/problemPickUpHL_b18_fp24_r1.pddl,True,267.63,335.59,2,0,
113,2026-07-01 15:02:47.332,LAMA-FIRST,PickUpHL_b6_fp8_r1,Plannerinputs/generated/problemPickUpHL_b6_fp8_r1.pddl,True,3045.59,3116.63,3,0,
114,2026-07-01 15:02:50.472,LAMA-FIRST,PickUpHL_b12_fp16_r1,Plannerinputs/generated/problemPickUpHL_b12_fp16_r1.pddl,True,2873.15,2936.26,3,0,
115,2026-07-01 15:02:53.433,FF,PickUpHL_b18_fp24_r1,Plannerinputs/generated/problemPickUpHL_b18_fp24_r1.pddl,True,282.30,354.66,3,0,
116,2026-07-01 15:02:53.867,FF,StackHL_b20_lp4_r1_pr4_lay4_m4,Plannerinputs/generated/problemStackHL_b20_lp4_r1_pr4_lay4_m4.pddl,True,261.79,320.40,2,0,
117,2026-07-01 15:02:54.896,LAMA-FIRST,PickUpHL_b6_fp8_r1,Plannerinputs/generated/problemPickUpHL_b6_fp8_r1.pddl,True,2904.82,2977.51,2,0,
118,2026-07-01 15:02:57.899,LAMA-FIRST,PickUpHL_b12_fp16_r1,Plannerinputs/generated/problemPickUpHL_b12_fp16_r1.pddl,True,2916.61,2966.41,2,0,
119,2026-07-01 15:03:00.907,FF,PickUpHL_b18_fp24_r1,Plannerinputs/generated/problemPickUpHL_b18_fp24_r1.pddl,True,267.82,351.95,2,0,
120,2026-07-01 15:03:01.369,FF,PickUpHL_b24_fp32_r1,Plannerinputs/generated/problemPickUpHL_b24_fp32_r1.pddl,True,280.58,333.31,2,0,
121,2026-07-01 15:03:02.244,LAMA-FIRST,PickUpHL_b12_fp16_r1,Plannerinputs/generated/problemPickUpHL_b12_fp16_r1.pddl,True,2916.02,2966.32,3,0,
122,2026-07-01 15:03:05.230,FF,PickUpHL_b18_fp24_r1,Plannerinputs/generated/problemPickUpHL_b18_fp24_r1.pddl,True,269.99,345.56,3,0,
123,2026-07-01 15:03:05.629,FF,PickUpHL_b24_fp32_r1,Plannerinputs/generated/problemPickUpHL_b24_fp32_r1.pddl,True,271.31,329.50,3,0,
124,2026-07-01 15:03:06.124,LAMA-FIRST,StackHL_b6_lp1_r1_pr1_lay1_m1,Plannerinputs/generated/problemStackHL_b6_lp1_r1_pr1_lay1_m1.pddl,True,4464.02,4502.84,2,0,
125,2026-07-01 15:03:11.134,LAMA-FIRST,PickUpHL_b12_fp16_r1,Plannerinputs/generated/problemPickUpHL_b12_fp16_r1.pddl,True,2927.28,2964.95,2,0,
126,2026-07-01 15:03:14.143,FF,PickUpHL_b18_fp24_r1,Plannerinputs/generated/problemPickUpHL_b18_fp24_r1.pddl,True,266.03,330.51,2,0,
127,2026-07-01 15:03:14.512,FF,PickUpHL_b24_fp32_r1,Plannerinputs/generated/problemPickUpHL_b24_fp32_r1.pddl,True,275.67,328.09,2,0,
128,2026-07-01 15:03:15.037,LAMA-FIRST,PickUpHL_b4_fp6_r1,Plannerinputs/generated/problemPickUpHL_b4_fp6_r1.pddl,True,2897.31,2942.96,2,0,
129,2026-07-01 15:03:18.441,FF,PickUpHL_b18_fp24_r1,Plannerinputs/generated/problemPickUpHL_b18_fp24_r1.pddl,True,275.80,338.55,3,0,
130,2026-07-01 15:03:18.804,FF,PickUpHL_b24_fp32_r1,Plannerinputs/generated/problemPickUpHL_b24_fp32_r1.pddl,True,267.81,341.79,3,0,
131,2026-07-01 15:03:19.276,LAMA-FIRST,PickUpHL_b4_fp6_r1,Plannerinputs/generated/problemPickUpHL_b4_fp6_r1.pddl,True,2927.05,2972.44,3,0,
132,2026-07-01 15:03:22.329,LAMA-FIRST,StackHL_b12_lp2_r1_pr2_lay2_m2,Plannerinputs/generated/problemStackHL_b12_lp2_r1_pr2_lay2_m2.pddl,True,4043.51,4087.08,2,0,
133,2026-07-01 15:03:26.964,FF,PickUpHL_b18_fp24_r1,Plannerinputs/generated/problemPickUpHL_b18_fp24_r1.pddl,True,270.20,337.80,2,0,
134,2026-07-01 15:03:27.353,FF,PickUpHL_b24_fp32_r1,Plannerinputs/generated/problemPickUpHL_b24_fp32_r1.pddl,True,267.92,334.66,2,0,
135,2026-07-01 15:03:27.848,LAMA-FIRST,PickUpHL_b4_fp6_r1,Plannerinputs/generated/problemPickUpHL_b4_fp6_r1.pddl,True,2911.43,2966.03,2,0,
136,2026-07-01 15:03:30.890,LAMA-FIRST,PickUpHL_b10_fp14_r1,Plannerinputs/generated/problemPickUpHL_b10_fp14_r1.pddl,True,2907.98,2957.99,2,0,
137,2026-07-01 15:03:34.402,FF,PickUpHL_b24_fp32_r1,Plannerinputs/generated/problemPickUpHL_b24_fp32_r1.pddl,True,262.89,346.01,3,0,
138,2026-07-01 15:03:34.930,LAMA-FIRST,PickUpHL_b4_fp6_r1,Plannerinputs/generated/problemPickUpHL_b4_fp6_r1.pddl,True,2903.74,2955.18,3,0,
139,2026-07-01 15:03:37.914,LAMA-FIRST,PickUpHL_b10_fp14_r1,Plannerinputs/generated/problemPickUpHL_b10_fp14_r1.pddl,True,2947.54,3040.36,3,0,
140,2026-07-01 15:03:41.014,FF,StackHL_b18_lp3_r1_pr3_lay3_m3,Plannerinputs/generated/problemStackHL_b18_lp3_r1_pr3_lay3_m3.pddl,True,270.66,344.30,2,0,
141,2026-07-01 15:03:41.889,FF,PickUpHL_b24_fp32_r1,Plannerinputs/generated/problemPickUpHL_b24_fp32_r1.pddl,True,262.34,326.93,2,0,
142,2026-07-01 15:03:42.393,LAMA-FIRST,PickUpHL_b4_fp6_r1,Plannerinputs/generated/problemPickUpHL_b4_fp6_r1.pddl,True,2903.70,2964.92,2,0,
143,2026-07-01 15:03:45.382,LAMA-FIRST,PickUpHL_b10_fp14_r1,Plannerinputs/generated/problemPickUpHL_b10_fp14_r1.pddl,True,2885.96,2930.80,2,0,
