CallNumber,Timestamp,PlannerName,HLActionInstance,ProblemFile,Success,PlannerTimeMs,TotalTimeMs,ActionsGenerated,PlanLength,Error
494,2026-07-06 17:17:03.289,FF,MoveCassetteToStackHL_tp3_lp3_pr3_sp3_r1_m3_lay3,Plannerinputs/generated/problemMoveCassetteToStackHL_tp3_lp3_pr3_sp3_r1_m3_lay3.pddl,True,267.34,355.75,4,0,
495,2026-07-06 17:17:04.714,ENHSP,cassette5,./Plannerinputs/static/problemC5.pddl,True,1276.31,1503.38,31,0,
496,2026-07-06 17:17:06.218,ENHSP,cassette6,./Plannerinputs/static/problemC6.pddl,True,1265.81,1492.47,31,0,
497,2026-07-06 17:17:07.724,ENHSP,cassette7,./Plannerinputs/static/problemC7.pddl,True,1265.45,1475.82,31,0,
498,2026-07-06 17:17:09.201,ENHSP,cassette8,./Plannerinputs/static/problemC8.pddl,True,1278.92,1490.02,31,0,
499,2026-07-06 17:17:10.884,FF,PickUpHL_lp5_fp33_r1,Plannerinputs/generated/problemPickUpHL_lp5_fp33_r1.pddl,True,286.33,356.71,2,0,
500,2026-07-06 17:17:11.279,FF,PickUpHL_lp6_fp41_r1,Plannerinputs/generated/problemPickUpHL_lp6_fp41_r1.pddl,True,277.27,409.80,2,0,
501,2026-07-06 17:17:11.735,FF,PickUpHL_lp7_fp49_r1,Plannerinputs/generated/problemPickUpHL_lp7_fp49_r1.pddl,True,273.86,364.80,2,0,
502,2026-07-06 17:17:12.173,FF,PickUpHL_lp8_fp57_r1,Plannerinputs/generated/problemPickUpHL_lp8_fp57_r1.pddl,True,270.10,362.66,2,0,
503,2026-07-06 17:17:13.181,FF,PickUpHL_lp6_fp41_r1,Plannerinputs/generated/problemPickUpHL_lp6_fp41_r1.pddl,True,280.57,355.32,3,0,
504,2026-07-06 17:17:13.581,FF,PickUpHL_lp7_fp49_r1,Plannerinputs/generated/problemPickUpHL_lp7_fp49_r1.pddl,True,280.86,360.38,3,0,
505,2026-07-06 17:17:13.982,FF,PickUpHL_lp8_fp57_r1,Plannerinputs/generated/problemPickUpHL_lp8_fp57_r1.pddl,True,276.63,372.44,3,0,
506,2026-07-06 17:17:14.548,FF,PlaceHL_lp5_pr1_r1,Plannerinputs/generated/problemPlaceHL_lp5_pr1_r1.pddl,True,274.16,355.82,2,0,
