LLId,ActionType,InstanceName,CommandType,TargetPosition,ParentMLAction,Success,ExecTimeMs
603,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup68,movej,rpmanipulate,,True,10891.25
604,MoveToLL,MoveToLL_StackOnTwoML_stick55_robot1_finallocstick55_rpmanipulate_stick51_cube11_gripper1_layer12_layer13,planned,finallocstick55,,True,19912.62
605,MoveToLL,MoveToLL_StackOnTwoML_stick55_robot1_finallocstick55_rpmanipulate_stick51_cube11_gripper1_layer12_layer13,movej,rpmanipulate,,True,13519.13
606,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup61,movej,rppickup,,True,11166.65
607,MoveToLL,MoveToLL_PickUpML_stick57_initlocstick57_robot1_gripper1_rppickup,movel,initlocstick57,,True,5167.79
608,CloseGripperLL,CloseGripperLL_PickUpML_stick57_initlocstick57_robot1_gripper1_rppickup,close_gripper,,,True,1.21
609,MoveToLL,MoveToLL_PickUpML_stick57_initlocstick57_robot1_gripper1_rppickup,movel,rppickup,,True,5137.13
610,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup69,movej,rpmanipulate,,True,11112.35
611,MoveToLL,MoveToLL_StackOnTwoML_stick57_robot1_finallocstick57_rpmanipulate_stick52_stick53_gripper1_layer12_layer13,planned,finallocstick57,,True,14142.42
612,MoveToLL,MoveToLL_StackOnTwoML_stick57_robot1_finallocstick57_rpmanipulate_stick52_stick53_gripper1_layer12_layer13,movej,rpmanipulate,,True,8466.71
613,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup62,movej,rppickup,,True,11091.41
614,MoveToLL,MoveToLL_PickUpML_stick60_initlocstick60_robot1_gripper1_rppickup,movel,initlocstick60,,True,5363.48
615,CloseGripperLL,CloseGripperLL_PickUpML_stick60_initlocstick60_robot1_gripper1_rppickup,close_gripper,,,True,13.98
616,MoveToLL,MoveToLL_PickUpML_stick60_initlocstick60_robot1_gripper1_rppickup,movel,rppickup,,True,5924.31
617,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup70,movej,rpmanipulate,,True,10758.56
618,MoveToLL,MoveToLL_StackOnTwoML_stick60_robot1_finallocstick60_rpmanipulate_stick56_stick55_gripper1_layer13_layer14,planned,finallocstick60,,True,16662.14
619,MoveToLL,MoveToLL_StackOnTwoML_stick60_robot1_finallocstick60_rpmanipulate_stick56_stick55_gripper1_layer13_layer14,movej,rpmanipulate,,True,11302.66
620,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup63,movej,rppickup,,True,10842.06
621,MoveToLL,MoveToLL_PickUpML_stick58_initlocstick58_robot1_gripper1_rppickup,movel,initlocstick58,,True,5176.41
622,CloseGripperLL,CloseGripperLL_PickUpML_stick58_initlocstick58_robot1_gripper1_rppickup,close_gripper,,,True,1.07
623,MoveToLL,MoveToLL_PickUpML_stick58_initlocstick58_robot1_gripper1_rppickup,movel,rppickup,,True,5949.67
624,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup71,movej,rpmanipulate,,True,10853.54
625,MoveToLL,MoveToLL_StackOnTwoML_stick58_robot1_finallocstick58_rpmanipulate_stick54_stick53_gripper1_layer12_layer13,planned,finallocstick58,,True,15806.28
626,MoveToLL,MoveToLL_StackOnTwoML_stick58_robot1_finallocstick58_rpmanipulate_stick54_stick53_gripper1_layer12_layer13,movej,rpmanipulate,,True,9289.28
