LLId,ActionType,InstanceName,CommandType,TargetPosition,ParentMLAction,Success,ExecTimeMs
86,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick8_robot1_finallocstick8_rpmanipulate_stick3_stick4_gripper1_layer1_layer2,lift,,,True,3762.99
87,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick8_robot1_finallocstick8_rpmanipulate_stick3_stick4_gripper1_layer1_layer2,plannedj,rpmanipulate,,True,6088.35
88,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup11,plannedj,rppickup,,True,11431.23
89,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup_dup2,plannedl,initlocstick5,,True,3879.16
90,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup_dup2,close_gripper,,,True,1814.93
91,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick5_initlocstick5_robot1_gripper1_rppickup_dup2,plannedl,rppickup,,True,3897.03
92,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup10,plannedj,rpmanipulate,,True,11208.54
93,MoveToLL,MoveToLL_moveToStackPos_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate_dup2,plannedj,finallocstick5,,True,6145.46
94,OpenGripperLL,OpenGripperLL_openGripper_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate_dup2,open_gripper,,,True,1654.37
95,LiftLL,LiftLL_liftAfterStack_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate_dup2,lift,,,True,3700.99
96,MoveToLL,MoveToLL_moveToRobotPosition_StackML_stick5_table1_robot1_gripper1_finallocstick5_rpmanipulate_dup2,plannedj,rpmanipulate,,True,5651.16
97,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup12,plannedj,rppickup,,True,11087.26
98,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_cube2_initloccube2_robot1_gripper1_rppickup,plannedl,initloccube2,,True,3896.60
99,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_cube2_initloccube2_robot1_gripper1_rppickup,close_gripper,,,True,1760.50
100,MoveToLL,MoveToLL_moveToRetract_PickUpML_cube2_initloccube2_robot1_gripper1_rppickup,plannedl,rppickup,,True,3935.57
101,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup11,plannedj,rpmanipulate,,True,11535.83
102,MoveToLL,MoveToLL_moveToStackPos_StackML_cube2_stick5_robot1_gripper1_finalloccube2_rpmanipulate,plannedj,finalloccube2,,True,6047.95
103,OpenGripperLL,OpenGripperLL_openGripper_StackML_cube2_stick5_robot1_gripper1_finalloccube2_rpmanipulate,open_gripper,,,True,1753.93
104,LiftLL,LiftLL_liftAfterStack_StackML_cube2_stick5_robot1_gripper1_finalloccube2_rpmanipulate,lift,,,True,3792.01
105,MoveToLL,MoveToLL_moveToRobotPosition_StackML_cube2_stick5_robot1_gripper1_finalloccube2_rpmanipulate,plannedj,rpmanipulate,,True,5372.91
106,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup13,plannedj,rppickup,,True,11210.01
107,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick9_initlocstick9_robot1_gripper1_rppickup,plannedl,initlocstick9,,True,3884.54
108,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick9_initlocstick9_robot1_gripper1_rppickup,close_gripper,,,True,1755.45
