CmdNumber,IsSubStep,ParentCmdNumber,Timestamp,LLActionType,InstanceName,CommandType,TargetPosition,EndEffector,Velocity,Acceleration,Pose,Joints,Success,ExecTimeMs,PlanTimeMs,PointCount,NominalDurationSec,TotalTimeMs,GapFromPrevMs,PlanningInGapMs,BTOverheadMs,ParentMLAction,Error
376,False,,2026-05-29 17:52:14.529,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup31,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,11475.40,36.78,50,4.859,13612.59,3814.19,0.00,3814.19,,
377,False,,2026-05-29 17:52:28.193,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick26_initlocstick26_robot1_gripper1_rppickup,plannedl,initlocstick26,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,4487.61,54.94,16,1.421,6787.91,51.26,0.00,51.26,,
378,False,,2026-05-29 17:52:35.016,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick26_initlocstick26_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1736.53,0.00,0,0.000,3779.69,34.68,0.00,34.68,,
379,False,,2026-05-29 17:52:38.817,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick26_initlocstick26_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3914.06,21.96,16,1.400,6006.53,21.57,0.00,21.57,,
380,False,,2026-05-29 17:52:48.953,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup33,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11087.81,21.78,51,4.916,13182.91,4129.43,0.00,4129.43,,
381,False,,2026-05-29 17:53:02.196,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick26_robot1_finallocstick26_rpmanipulate_stick22_stick21_gripper1_layer5_layer6,plannedj,finallocstick26,,1.00,1.00,"0.013005;0.768142;0.077500;0.000000;-3.141590;0.000000","",True,6350.78,16.97,25,2.319,8437.54,59.89,0.00,59.89,,
382,False,,2026-05-29 17:53:10.666,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick26_robot1_finallocstick26_rpmanipulate_stick22_stick21_gripper1_layer5_layer6,open_gripper,,,0.50,1.00,"","",True,2275.66,0.00,0,0.000,4306.78,32.49,0.00,32.49,,
383,False,,2026-05-29 17:53:15.002,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick26_robot1_finallocstick26_rpmanipulate_stick22_stick21_gripper1_layer5_layer6,lift,,,0.50,1.00,"","",True,3707.37,0.00,0,0.000,5725.62,29.74,0.00,29.74,,
384,False,,2026-05-29 17:53:20.753,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick26_robot1_finallocstick26_rpmanipulate_stick22_stick21_gripper1_layer5_layer6,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,5980.82,38.83,25,2.316,8226.11,24.89,0.00,24.89,,
385,False,,2026-05-29 17:53:32.555,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup32,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,11030.67,26.69,50,4.859,13231.80,3576.06,0.00,3576.06,,
386,False,,2026-05-29 17:53:45.829,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick27_initlocstick27_robot1_gripper1_rppickup,plannedl,initlocstick27,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,3884.11,23.20,16,1.421,6014.60,42.59,0.00,42.59,,
387,False,,2026-05-29 17:53:51.874,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick27_initlocstick27_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1793.03,0.00,0,0.000,3811.49,29.73,0.00,29.73,,
388,False,,2026-05-29 17:53:55.717,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick27_initlocstick27_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3868.08,28.01,16,1.401,5997.48,32.28,0.00,32.28,,
389,False,,2026-05-29 17:54:05.689,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup34,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11207.40,30.03,51,4.916,13354.50,3974.48,0.00,3974.48,,
390,False,,2026-05-29 17:54:19.097,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick27_robot1_finallocstick27_rpmanipulate_stick23_stick22_gripper1_layer5_layer6,plannedj,finallocstick27,,1.00,1.00,"-0.115108;0.958076;0.077500;0.000000;-3.141590;0.000000","",True,6052.16,33.15,24,2.201,8256.47,53.48,0.00,53.48,,
391,False,,2026-05-29 17:54:27.374,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick27_robot1_finallocstick27_rpmanipulate_stick23_stick22_gripper1_layer5_layer6,open_gripper,,,0.50,1.00,"","",True,1668.12,0.00,0,0.000,3715.75,20.71,0.00,20.71,,
392,False,,2026-05-29 17:54:31.109,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick27_robot1_finallocstick27_rpmanipulate_stick23_stick22_gripper1_layer5_layer6,lift,,,0.50,1.00,"","",True,3673.40,0.00,0,0.000,5714.48,18.36,0.00,18.36,,
393,False,,2026-05-29 17:54:36.855,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick27_robot1_finallocstick27_rpmanipulate_stick23_stick22_gripper1_layer5_layer6,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,5783.50,17.07,23,2.199,7960.82,31.79,0.00,31.79,,
394,False,,2026-05-29 17:54:48.618,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rptoolchange_dup7,plannedj,rptoolchange,,1.00,1.00,"-0.276143;0.385864;0.086921;-3.141491;-0.002589;-0.000081","2.086106;-1.186673;-2.396030;-1.129490;1.555172;0.503193",True,5090.55,31.74,21,1.926,7262.39,3802.24,0.00,3802.24,,
395,False,,2026-05-29 17:54:55.945,DeequipToolLL,DeequipToolLL_deequipTool_DeequipML_robot1_gripper1_equiplocgripper_rptoolchange_dup4,play_program,,gripper,0.50,1.00,"","",True,21568.99,0.00,0,0.000,23609.32,64.30,0.00,64.30,,
396,False,,2026-05-29 17:55:19.619,EquipToolLL,EquipToolLL_equipTool_EquipeML_robot1_staplergun1_rptoolchange_equiplocstapler_dup4,play_program,,nailgun,0.50,1.00,"","",True,10457.57,0.00,0,0.000,12510.54,64.89,0.00,64.89,,
397,False,,2026-05-29 17:55:35.653,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rptoolchange_rpmanipulate_dup4,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,5161.57,33.99,21,1.941,9847.78,3523.91,0.00,3523.91,,
398,False,,2026-05-29 17:55:45.608,NailingLL,NailingLL_moveToNailPos_NailingML_cube5_stick19_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"0.233547;0.989094;0.098550;2.221441;-2.221441;0.000000","",True,10369.27,0.00,0,0.000,12391.35,106.71,0.00,106.71,,
399,False,,2026-05-29 17:55:58.028,PushDownLL,PushDownLL_pushDown_NailingML_cube5_stick19_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1551.37,0.00,0,0.000,3603.19,28.73,0.00,28.73,,
400,False,,2026-05-29 17:56:01.660,LiftLL,LiftLL_liftAfterNail_NailingML_cube5_stick19_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4068.25,0.00,0,0.000,6109.66,28.91,0.00,28.91,,
401,False,,2026-05-29 17:56:11.392,NailingLL,NailingLL_moveToNailPos_NailingML_cube6_stick23_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"-0.243102;0.929415;0.097575;2.221441;-2.221441;0.000000","",True,6679.62,0.00,0,0.000,8707.72,3622.03,0.00,3622.03,,
402,False,,2026-05-29 17:56:20.118,PushDownLL,PushDownLL_pushDown_NailingML_cube6_stick23_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1795.32,0.00,0,0.000,3846.41,18.95,0.00,18.95,,
403,False,,2026-05-29 17:56:23.991,LiftLL,LiftLL_liftAfterNail_NailingML_cube6_stick23_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4084.30,0.00,0,0.000,6119.91,26.09,0.00,26.09,,
404,False,,2026-05-29 17:56:33.691,NailingLL,NailingLL_moveToNailPos_NailingML_stick24_stick19_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"0.327564;0.930345;0.098575;2.221441;-2.221441;0.000000","",True,7488.70,0.00,0,0.000,9518.33,3579.97,0.00,3579.97,,
405,False,,2026-05-29 17:56:43.237,PushDownLL,PushDownLL_pushDown_NailingML_stick24_stick19_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1728.61,0.00,0,0.000,3770.93,27.63,0.00,27.63,,
406,False,,2026-05-29 17:56:47.026,LiftLL,LiftLL_liftAfterNail_NailingML_stick24_stick19_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4083.54,0.00,0,0.000,6127.85,18.01,0.00,18.01,,
407,False,,2026-05-29 17:56:56.680,NailingLL,NailingLL_moveToNailPos_NailingML_stick24_stick20_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"0.360851;0.797137;0.098050;2.221441;-2.221441;0.000000","",True,5327.39,0.00,0,0.000,7369.96,3526.24,0.00,3526.24,,
408,False,,2026-05-29 17:57:04.084,PushDownLL,PushDownLL_pushDown_NailingML_stick24_stick20_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1632.56,0.00,0,0.000,3667.18,34.47,0.00,34.47,,
409,False,,2026-05-29 17:57:07.773,LiftLL,LiftLL_liftAfterNail_NailingML_stick24_stick20_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4085.37,0.00,0,0.000,6117.08,21.89,0.00,21.89,,
410,False,,2026-05-29 17:57:17.525,NailingLL,NailingLL_moveToNailPos_NailingML_stick25_stick20_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"0.282038;0.684705;0.097575;2.221441;-2.221441;0.000000","",True,5391.09,0.00,0,0.000,7421.72,3634.71,0.00,3634.71,,
411,False,,2026-05-29 17:57:24.975,PushDownLL,PushDownLL_pushDown_NailingML_stick25_stick20_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1468.71,0.00,0,0.000,3500.70,28.64,0.00,28.64,,
412,False,,2026-05-29 17:57:28.497,LiftLL,LiftLL_liftAfterNail_NailingML_stick25_stick20_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4102.37,0.00,0,0.000,6126.46,20.88,0.00,20.88,,
413,False,,2026-05-29 17:57:38.037,NailingLL,NailingLL_moveToNailPos_NailingML_stick25_stick21_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"0.150251;0.659089;0.097550;2.221441;-2.221441;0.000000","",True,4750.95,0.00,0,0.000,6789.95,3414.07,0.00,3414.07,,
414,False,,2026-05-29 17:57:44.856,PushDownLL,PushDownLL_pushDown_NailingML_stick25_stick21_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1603.82,0.00,0,0.000,3656.64,28.93,0.00,28.93,,
415,False,,2026-05-29 17:57:48.531,LiftLL,LiftLL_liftAfterNail_NailingML_stick25_stick21_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4075.50,0.00,0,0.000,6127.45,18.58,0.00,18.58,,
416,False,,2026-05-29 17:57:58.237,NailingLL,NailingLL_moveToNailPos_NailingML_stick26_stick21_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"0.008968;0.747372;0.097550;2.221441;-2.221441;0.000000","",True,4465.81,0.00,0,0.000,6502.77,3577.86,0.00,3577.86,,
417,False,,2026-05-29 17:58:04.760,PushDownLL,PushDownLL_pushDown_NailingML_stick26_stick21_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1762.34,0.00,0,0.000,3818.90,20.42,0.00,20.42,,
418,False,,2026-05-29 17:58:08.611,LiftLL,LiftLL_liftAfterNail_NailingML_stick26_stick21_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4050.17,0.00,0,0.000,6085.18,31.76,0.00,31.76,,
419,False,,2026-05-29 17:58:18.076,NailingLL,NailingLL_moveToNailPos_NailingML_stick26_stick22_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"0.025181;0.830783;0.097550;2.221441;-2.221441;0.000000","",True,4507.71,0.00,0,0.000,6584.68,3380.47,0.00,3380.47,,
420,False,,2026-05-29 17:58:24.688,PushDownLL,PushDownLL_pushDown_NailingML_stick26_stick22_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1849.23,0.00,0,0.000,3890.77,26.80,0.00,26.80,,
421,False,,2026-05-29 17:58:28.604,LiftLL,LiftLL_liftAfterNail_NailingML_stick26_stick22_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4078.69,0.00,0,0.000,6129.45,25.59,0.00,25.59,,
422,False,,2026-05-29 17:58:38.321,NailingLL,NailingLL_moveToNailPos_NailingML_stick27_stick22_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"-0.045962;0.944636;0.097550;2.221441;-2.221441;0.000000","",True,4589.72,0.00,0,0.000,6628.05,3587.16,0.00,3587.16,,
423,False,,2026-05-29 17:58:44.977,PushDownLL,PushDownLL_pushDown_NailingML_stick27_stick22_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1618.84,0.00,0,0.000,3642.61,27.92,0.00,27.92,,
424,False,,2026-05-29 17:58:48.643,LiftLL,LiftLL_liftAfterNail_NailingML_stick27_stick22_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4073.22,0.00,0,0.000,6119.00,23.42,0.00,23.42,,
425,False,,2026-05-29 17:58:58.258,NailingLL,NailingLL_moveToNailPos_NailingML_stick27_stick23_robot1_staplergun1_rpmanipulate,movej,unknown,nailgun,0.30,0.30,"-0.177749;0.970252;0.097550;2.221441;-2.221441;0.000000","",True,3849.43,0.00,0,0.000,5879.70,3496.09,0.00,3496.09,,
426,False,,2026-05-29 17:59:04.163,PushDownLL,PushDownLL_pushDown_NailingML_stick27_stick23_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,1645.20,0.00,0,0.000,3684.18,25.79,0.00,25.79,,
427,False,,2026-05-29 17:59:07.877,LiftLL,LiftLL_liftAfterNail_NailingML_stick27_stick23_robot1_staplergun1_rpmanipulate,lift,,,0.50,1.00,"","",True,4075.37,0.00,0,0.000,6119.14,29.18,0.00,29.18,,
428,False,,2026-05-29 17:59:20.698,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rptoolchange_dup8,plannedj,rptoolchange,,1.00,1.00,"-0.276143;0.385864;0.086921;-3.141491;-0.002589;-0.000081","2.086106;-1.186673;-2.396030;-1.129490;1.555172;0.503193",True,5896.82,17.82,25,2.352,8019.09,6702.41,0.00,6702.41,,
429,False,,2026-05-29 17:59:28.772,DeequipToolLL,DeequipToolLL_deequipTool_DeequipML_robot1_staplergun1_equiplocstapler_rptoolchange_dup4,play_program,,nailgun,0.50,1.00,"","",True,7875.42,0.00,0,0.000,9919.13,54.36,0.00,54.36,,
430,False,,2026-05-29 17:59:38.743,EquipToolLL,EquipToolLL_equipTool_EquipeML_robot1_gripper1_rptoolchange_equiplocgripper_dup4,play_program,,gripper,0.50,1.00,"","",True,21142.97,0.00,0,0.000,23176.52,52.20,0.00,52.20,,
431,False,,2026-05-29 18:00:05.569,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rptoolchange_rppickup_dup4,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,8402.43,54.96,35,3.357,13168.48,3649.54,0.00,3649.54,,
432,False,,2026-05-29 18:00:18.803,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick29_initlocstick29_robot1_gripper1_rppickup,plannedl,initlocstick29,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,4582.58,25.09,16,1.419,6702.02,65.88,0.00,65.88,,
433,False,,2026-05-29 18:00:25.539,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick29_initlocstick29_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1778.78,0.00,0,0.000,3827.74,33.84,0.00,33.84,,
434,False,,2026-05-29 18:00:29.389,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick29_initlocstick29_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3865.94,30.55,16,1.401,5990.90,22.05,0.00,22.05,,
435,False,,2026-05-29 18:00:39.203,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup35,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11329.49,25.92,51,4.916,13471.02,3823.03,0.00,3823.03,,
436,False,,2026-05-29 18:00:52.740,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick29_robot1_finallocstick29_rpmanipulate_stick24_stick25_gripper1_layer6_layer7,plannedj,finallocstick29,,1.00,1.00,"0.313042;0.735067;0.095000;0.000000;-3.141590;0.000000","",True,7436.66,19.76,30,2.842,9542.24,66.50,0.00,66.50,,
437,False,,2026-05-29 18:01:02.310,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick29_robot1_finallocstick29_rpmanipulate_stick24_stick25_gripper1_layer6_layer7,open_gripper,,,0.50,1.00,"","",True,1955.69,0.00,0,0.000,3998.73,27.71,0.00,27.71,,
438,False,,2026-05-29 18:01:06.337,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick29_robot1_finallocstick29_rpmanipulate_stick24_stick25_gripper1_layer6_layer7,lift,,,0.50,1.00,"","",True,3729.77,0.00,0,0.000,5750.44,27.79,0.00,27.79,,
439,False,,2026-05-29 18:01:12.115,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick29_robot1_finallocstick29_rpmanipulate_stick24_stick25_gripper1_layer6_layer7,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,7155.08,25.28,30,2.840,9280.26,27.29,0.00,27.29,,
440,False,,2026-05-29 18:01:25.021,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup33,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,11580.89,28.45,50,4.858,13732.10,3625.82,0.00,3625.82,,
441,False,,2026-05-29 18:01:38.814,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick28_initlocstick28_robot1_gripper1_rppickup,plannedl,initlocstick28,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,3883.25,17.64,16,1.421,5985.51,61.39,0.00,61.39,,
442,False,,2026-05-29 18:01:44.830,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick28_initlocstick28_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1765.17,0.00,0,0.000,3806.21,30.29,0.00,30.29,,
443,False,,2026-05-29 18:01:48.666,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick28_initlocstick28_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3925.97,21.78,16,1.400,6026.64,29.81,0.00,29.81,,
444,False,,2026-05-29 18:01:58.444,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup36,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11420.38,18.59,51,4.916,13525.16,3751.51,0.00,3751.51,,
445,False,,2026-05-29 18:02:12.031,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick28_robot1_finallocstick28_rpmanipulate_cube5_stick24_gripper1_layer6_layer7,plannedj,finallocstick28,,1.00,1.00,"0.294394;0.948859;0.096000;0.000000;-3.141590;0.000000","",True,7234.42,26.33,29,2.764,9371.92,61.46,0.00,61.46,,
446,False,,2026-05-29 18:02:21.431,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick28_robot1_finallocstick28_rpmanipulate_cube5_stick24_gripper1_layer6_layer7,open_gripper,,,0.50,1.00,"","",True,2143.95,0.00,0,0.000,4174.99,28.64,0.00,28.64,,
447,False,,2026-05-29 18:02:25.631,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick28_robot1_finallocstick28_rpmanipulate_cube5_stick24_gripper1_layer6_layer7,lift,,,0.50,1.00,"","",True,3694.89,0.00,0,0.000,5756.11,24.83,0.00,24.83,,
448,False,,2026-05-29 18:02:31.422,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick28_robot1_finallocstick28_rpmanipulate_cube5_stick24_gripper1_layer6_layer7,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,6998.14,23.50,29,2.762,9139.31,35.03,0.00,35.03,,
449,False,,2026-05-29 18:02:44.017,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup34,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,11078.15,21.23,50,4.860,13206.17,3455.09,0.00,3455.09,,
450,False,,2026-05-29 18:02:57.289,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick32_initlocstick32_robot1_gripper1_rppickup,plannedl,initlocstick32,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,3877.88,22.19,16,1.421,5986.49,66.13,0.00,66.13,,
451,False,,2026-05-29 18:03:03.299,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick32_initlocstick32_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1797.14,0.00,0,0.000,3826.64,23.42,0.00,23.42,,
452,False,,2026-05-29 18:03:07.149,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick32_initlocstick32_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3894.07,16.25,16,1.400,6002.63,23.64,0.00,23.64,,
453,False,,2026-05-29 18:03:16.950,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup37,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11384.62,16.84,51,4.916,13507.37,3798.51,0.00,3798.51,,
454,False,,2026-05-29 18:03:30.515,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick32_robot1_finallocstick32_rpmanipulate_cube6_stick27_gripper1_layer6_layer7,plannedj,finallocstick32,,1.00,1.00,"-0.210902;0.952155;0.095000;0.000000;-3.141590;0.000000","",True,5831.48,19.14,22,2.074,7970.53,57.50,0.00,57.50,,
455,False,,2026-05-29 18:03:38.510,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick32_robot1_finallocstick32_rpmanipulate_cube6_stick27_gripper1_layer6_layer7,open_gripper,,,0.50,1.00,"","",True,1941.67,0.00,0,0.000,4002.94,23.90,0.00,23.90,,
456,False,,2026-05-29 18:03:42.556,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick32_robot1_finallocstick32_rpmanipulate_cube6_stick27_gripper1_layer6_layer7,lift,,,0.50,1.00,"","",True,3668.08,0.00,0,0.000,5701.72,43.77,0.00,43.77,,
457,False,,2026-05-29 18:03:48.282,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick32_robot1_finallocstick32_rpmanipulate_cube6_stick27_gripper1_layer6_layer7,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,5609.40,16.96,22,2.071,7712.30,23.89,0.00,23.89,,
458,False,,2026-05-29 18:03:59.611,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup35,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,11589.55,21.55,50,4.859,13703.64,3617.00,0.00,3617.00,,
459,False,,2026-05-29 18:04:13.371,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick33_initlocstick33_robot1_gripper1_rppickup,plannedl,initlocstick33,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,3883.44,17.21,16,1.421,6011.94,56.12,0.00,56.12,,
460,False,,2026-05-29 18:04:19.413,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick33_initlocstick33_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1776.96,0.00,0,0.000,3807.33,30.44,0.00,30.44,,
461,False,,2026-05-29 18:04:23.245,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick33_initlocstick33_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3845.28,32.37,16,1.400,6023.39,24.58,0.00,24.58,,
