CmdNumber,IsSubStep,ParentCmdNumber,Timestamp,LLActionType,InstanceName,CommandType,TargetPosition,EndEffector,Velocity,Acceleration,Pose,Joints,Success,ExecTimeMs,PlanTimeMs,PointCount,NominalDurationSec,TotalTimeMs,GapFromPrevMs,PlanningInGapMs,BTOverheadMs,ParentMLAction,Error
41,False,,2026-05-29 17:03:54.720,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup5,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,11344.77,16.94,50,4.859,13446.38,2208.89,0.00,2208.89,,
42,False,,2026-05-29 17:04:08.198,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick1_initlocstick1_robot1_gripper1_rppickup,plannedl,initlocstick1,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,3869.09,17.05,16,1.421,5965.49,31.69,0.00,31.69,,
43,False,,2026-05-29 17:04:14.184,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick1_initlocstick1_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1845.22,0.00,0,0.000,3876.71,20.23,0.00,20.23,,
44,False,,2026-05-29 17:04:18.073,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick1_initlocstick1_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3897.05,16.52,16,1.400,5972.20,12.19,0.00,12.19,,
45,False,,2026-05-29 17:04:26.224,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup5,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11419.24,30.93,51,4.916,13532.79,2178.75,0.00,2178.75,,
46,False,,2026-05-29 17:04:39.793,MoveToLL,MoveToLL_moveToStackPos_StackML_stick1_table1_robot1_gripper1_finallocstick1_rpmanipulate,plannedj,finallocstick1,,1.00,1.00,"0.257008;0.974215;-0.009000;0.000000;-3.141590;0.000000","",True,7157.84,21.65,29,2.713,9278.74,36.12,0.00,36.12,,
47,False,,2026-05-29 17:04:49.091,OpenGripperLL,OpenGripperLL_openGripper_StackML_stick1_table1_robot1_gripper1_finallocstick1_rpmanipulate,open_gripper,,,0.50,1.00,"","",True,2230.60,0.00,0,0.000,4291.68,19.62,0.00,19.62,,
48,False,,2026-05-29 17:04:53.406,LiftLL,LiftLL_liftAfterStack_StackML_stick1_table1_robot1_gripper1_finallocstick1_rpmanipulate,lift,,,0.50,1.00,"","",True,3706.10,0.00,0,0.000,5744.72,23.17,0.00,23.17,,
49,False,,2026-05-29 17:04:59.169,MoveToLL,MoveToLL_moveToRobotPosition_StackML_stick1_table1_robot1_gripper1_finallocstick1_rpmanipulate,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,6929.20,16.78,29,2.711,9030.33,18.73,0.00,18.73,,
50,False,,2026-05-29 17:05:10.487,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup6,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,11454.41,38.77,50,4.858,13722.60,2287.94,0.00,2287.94,,
