LLId,ActionType,InstanceName,CommandType,TargetPosition,ParentMLAction,Success,ExecTimeMs
444,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick41_initlocstick41_robot1_gripper1_rppickup,movel,rppickup,,True,5961.84
445,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup52,movej,rpmanipulate,,True,15429.42
446,MoveToLL,MoveToLL_moveToObjPosition_StackOnTwoML_stick41_robot1_finallocstick41_rpmanipulate_cube8_stick36_gripper1_layer8_layer9,planned,finallocstick41,,True,16712.75
447,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick41_robot1_finallocstick41_rpmanipulate_cube8_stick36_gripper1_layer8_layer9,movej,rpmanipulate,,True,11476.72
448,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup49,movej,rppickup,,True,15133.95
449,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick40_initlocstick40_robot1_gripper1_rppickup,movel,initlocstick40,,True,6293.41
450,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick40_initlocstick40_robot1_gripper1_rppickup,close_gripper,,,True,13.78
451,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick40_initlocstick40_robot1_gripper1_rppickup,movel,rppickup,,True,5957.88
452,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup53,movej,rpmanipulate,,True,14960.49
453,MoveToLL,MoveToLL_moveToObjPosition_StackOnTwoML_stick40_robot1_finallocstick40_rpmanipulate_stick35_stick36_gripper1_layer8_layer9,planned,finallocstick40,,True,18298.16
454,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick40_robot1_finallocstick40_rpmanipulate_stick35_stick36_gripper1_layer8_layer9,movej,rpmanipulate,,True,10781.66
455,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup50,movej,rppickup,,True,15013.75
456,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_cube10_initloccube10_robot1_gripper1_rppickup,movel,initloccube10,,True,6300.72
457,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_cube10_initloccube10_robot1_gripper1_rppickup,close_gripper,,,True,0.92
458,MoveToLL,MoveToLL_moveToRetract_PickUpML_cube10_initloccube10_robot1_gripper1_rppickup,movel,rppickup,,True,5964.57
459,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup54,movej,rpmanipulate,,True,15537.04
460,MoveToLL,MoveToLL_moveToObjPosition_StackML_cube10_stick41_robot1_gripper1_finalloccube10_rpmanipulate,planned,finalloccube10,,True,16725.37
461,MoveToLL,MoveToLL_moveToRobotPosition_StackML_cube10_stick41_robot1_gripper1_finalloccube10_rpmanipulate,movej,rpmanipulate,,True,11475.98
462,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup51,movej,rppickup,,True,15083.26
463,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick44_initlocstick44_robot1_gripper1_rppickup,movel,initlocstick44,,True,6299.86
464,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick44_initlocstick44_robot1_gripper1_rppickup,close_gripper,,,True,13.64
465,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick44_initlocstick44_robot1_gripper1_rppickup,movel,rppickup,,True,5256.97
466,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup55,movej,rpmanipulate,,True,15284.59
467,MoveToLL,MoveToLL_moveToObjPosition_StackOnTwoML_stick44_robot1_finallocstick44_rpmanipulate_stick40_stick39_gripper1_layer9_layer10,planned,finallocstick44,,True,19105.85
468,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick44_robot1_finallocstick44_rpmanipulate_stick40_stick39_gripper1_layer9_layer10,movej,rpmanipulate,,True,14983.58
