Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
63,2026-07-09 10:43:53.655,TravelML,TravelML_r1_ep1_ep2,STARTED,"DeltaTime: 0.100",3872.63
64,2026-07-09 10:43:53.656,TravelML,TravelML_r1_ep1_ep2,COMPLETED,"Action logic completed successfully",3872.90
65,2026-07-09 10:43:53.657,TravelML,TravelML_r1_ep1_ep2,COMPLETED,"Effects applied on exit",3874.01
66,2026-07-09 10:43:53.776,GluingPlateHL,GluingPlateHL_lp1_pr1_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_GluingPlateHL_lp1_pr1_r1; DeltaTime: 0.100",3993.46
67,2026-07-09 10:43:53.779,EquipeML,EquipeML_r1_gg1_ep2,STARTED,"ML action execution; DeltaTime: 0.100",3995.83
68,2026-07-09 10:43:53.779,EquipeML,EquipeML_r1_gg1_ep2,STARTED,"DeltaTime: 0.100",3995.90
69,2026-07-09 10:43:53.779,EquipeML,EquipeML_r1_gg1_ep2,COMPLETED,"Action logic completed successfully",3995.98
70,2026-07-09 10:43:53.780,EquipeML,EquipeML_r1_gg1_ep2,COMPLETED,"Effects applied on exit",3997.30
71,2026-07-09 10:43:53.889,GluingPlateHL,GluingPlateHL_lp1_pr1_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_GluingPlateHL_lp1_pr1_r1; DeltaTime: 0.100",4106.10
72,2026-07-09 10:43:53.891,InitializeML,InitializeML_r1_gg1,STARTED,"ML action execution; DeltaTime: 0.100",4108.75
73,2026-07-09 10:43:53.892,InitializeML,InitializeML_r1_gg1,STARTED,"DeltaTime: 0.100",4108.83
74,2026-07-09 10:43:53.892,InitializeML,InitializeML_r1_gg1,COMPLETED,"Action logic completed successfully",4108.86
75,2026-07-09 10:43:53.892,InitializeML,InitializeML_r1_gg1,COMPLETED,"Effects applied on exit",4109.70
76,2026-07-09 10:43:53.998,GluingPlateHL,GluingPlateHL_lp1_pr1_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_GluingPlateHL_lp1_pr1_r1; DeltaTime: 0.100",4215.42
77,2026-07-09 10:43:54.001,TravelML,TravelML_r1_ep2_pr1,STARTED,"ML action execution; DeltaTime: 0.100",4218.23
78,2026-07-09 10:43:54.001,TravelML,TravelML_r1_ep2_pr1,STARTED,"DeltaTime: 0.100",4218.26
79,2026-07-09 10:43:54.001,TravelML,TravelML_r1_ep2_pr1,COMPLETED,"Action logic completed successfully",4218.28
80,2026-07-09 10:43:54.001,TravelML,TravelML_r1_ep2_pr1,COMPLETED,"Effects applied on exit",4218.78
81,2026-07-09 10:43:54.120,GluingPlateHL,GluingPlateHL_lp1_pr1_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_GluingPlateHL_lp1_pr1_r1; DeltaTime: 0.100",4337.05
82,2026-07-09 10:43:54.122,GluingML,GluingML_lp1_pr1_r1_gg1,STARTED,"ML action execution; DeltaTime: 0.100",4339.32
83,2026-07-09 10:43:54.122,GluingML,GluingML_lp1_pr1_r1_gg1,STARTED,"DeltaTime: 0.100",4339.37
84,2026-07-09 10:43:54.122,GluingML,GluingML_lp1_pr1_r1_gg1,COMPLETED,"Action logic completed successfully",4339.40
85,2026-07-09 10:43:54.123,GluingML,GluingML_lp1_pr1_r1_gg1,COMPLETED,"Effects applied on exit",4339.96
86,2026-07-09 10:43:54.230,GluingPlateHL,GluingPlateHL_lp1_pr1_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_GluingPlateHL_lp1_pr1_r1; DeltaTime: 0.100",4446.91
87,2026-07-09 10:43:54.231,GluingPlateHL,GluingPlateHL_lp1_pr1_r1,COMPLETED,"Subtree execution completed successfully",4448.42
88,2026-07-09 10:43:54.231,GluingPlateHL,GluingPlateHL_lp1_pr1_r1,STARTED,"DeltaTime: 0.100",4448.47
89,2026-07-09 10:43:54.231,GluingPlateHL,GluingPlateHL_lp1_pr1_r1,COMPLETED,"Action logic completed successfully",4448.73
90,2026-07-09 10:43:54.234,GluingPlateHL,GluingPlateHL_lp1_pr1_r1,COMPLETED,"Effects applied on exit",4451.13
91,2026-07-09 10:43:54.376,PickUpHL,PickUpHL_b2_fp3_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_b2_fp3_r1; DeltaTime: 0.100",4593.21
92,2026-07-09 10:43:55.200,CloseToolML,CloseToolML_r1_gg1,STARTED,"ML action execution; DeltaTime: 0.100",5417.34
93,2026-07-09 10:43:55.200,CloseToolML,CloseToolML_r1_gg1,STARTED,"DeltaTime: 0.100",5417.40
94,2026-07-09 10:43:55.200,CloseToolML,CloseToolML_r1_gg1,COMPLETED,"Action logic completed successfully",5417.44
95,2026-07-09 10:43:55.201,CloseToolML,CloseToolML_r1_gg1,COMPLETED,"Effects applied on exit",5417.85
96,2026-07-09 10:43:55.305,PickUpHL,PickUpHL_b2_fp3_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_b2_fp3_r1; DeltaTime: 0.100",5522.26
97,2026-07-09 10:43:55.307,TravelML,TravelML_r1_pr1_ep1,STARTED,"ML action execution; DeltaTime: 0.100",5524.53
98,2026-07-09 10:43:55.307,TravelML,TravelML_r1_pr1_ep1,STARTED,"DeltaTime: 0.100",5524.58
99,2026-07-09 10:43:55.307,TravelML,TravelML_r1_pr1_ep1,COMPLETED,"Action logic completed successfully",5524.65
100,2026-07-09 10:43:55.308,TravelML,TravelML_r1_pr1_ep1,COMPLETED,"Effects applied on exit",5525.73
101,2026-07-09 10:43:55.415,PickUpHL,PickUpHL_b2_fp3_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_b2_fp3_r1; DeltaTime: 0.100",5632.31
102,2026-07-09 10:43:55.418,TravelML,TravelML_r1_ep1_ep2,STARTED,"ML action execution; DeltaTime: 0.100",5635.06
103,2026-07-09 10:43:55.418,TravelML,TravelML_r1_ep1_ep2,STARTED,"DeltaTime: 0.100",5635.12
104,2026-07-09 10:43:55.418,TravelML,TravelML_r1_ep1_ep2,COMPLETED,"Action logic completed successfully",5635.16
105,2026-07-09 10:43:55.418,TravelML,TravelML_r1_ep1_ep2,COMPLETED,"Effects applied on exit",5635.70
106,2026-07-09 10:43:55.529,PickUpHL,PickUpHL_b2_fp3_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_b2_fp3_r1; DeltaTime: 0.100",5746.33
107,2026-07-09 10:43:55.534,DeequipML,DeequipML_r1_gg1_ep2,STARTED,"ML action execution; DeltaTime: 0.100",5750.87
108,2026-07-09 10:43:55.534,DeequipML,DeequipML_r1_gg1_ep2,STARTED,"DeltaTime: 0.100",5750.93
109,2026-07-09 10:43:55.534,DeequipML,DeequipML_r1_gg1_ep2,COMPLETED,"Action logic completed successfully",5750.99
110,2026-07-09 10:43:55.535,DeequipML,DeequipML_r1_gg1_ep2,COMPLETED,"Effects applied on exit",5752.44
111,2026-07-09 10:43:55.651,PickUpHL,PickUpHL_b2_fp3_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_b2_fp3_r1; DeltaTime: 0.100",5868.52
112,2026-07-09 10:43:55.653,TravelML,TravelML_r1_ep2_ep1,STARTED,"ML action execution; DeltaTime: 0.100",5870.64
113,2026-07-09 10:43:55.653,TravelML,TravelML_r1_ep2_ep1,STARTED,"DeltaTime: 0.100",5870.68
114,2026-07-09 10:43:55.653,TravelML,TravelML_r1_ep2_ep1,COMPLETED,"Action logic completed successfully",5870.71
115,2026-07-09 10:43:55.654,TravelML,TravelML_r1_ep2_ep1,COMPLETED,"Effects applied on exit",5871.30
116,2026-07-09 10:43:55.764,PickUpHL,PickUpHL_b2_fp3_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_b2_fp3_r1; DeltaTime: 0.100",5981.72
117,2026-07-09 10:43:55.768,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"ML action execution; DeltaTime: 0.100",5985.69
118,2026-07-09 10:43:55.768,EquipeML,EquipeML_r1_vg1_ep1,STARTED,"DeltaTime: 0.100",5985.75
119,2026-07-09 10:43:55.768,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Action logic completed successfully",5985.79
120,2026-07-09 10:43:55.770,EquipeML,EquipeML_r1_vg1_ep1,COMPLETED,"Effects applied on exit",5987.21
121,2026-07-09 10:43:55.874,PickUpHL,PickUpHL_b2_fp3_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_b2_fp3_r1; DeltaTime: 0.100",6091.67
122,2026-07-09 10:43:55.876,InitializeML,InitializeML_r1_vg1,STARTED,"ML action execution; DeltaTime: 0.100",6093.55
123,2026-07-09 10:43:55.876,InitializeML,InitializeML_r1_vg1,STARTED,"DeltaTime: 0.100",6093.67
124,2026-07-09 10:43:55.876,InitializeML,InitializeML_r1_vg1,COMPLETED,"Action logic completed successfully",6093.74
125,2026-07-09 10:43:55.877,InitializeML,InitializeML_r1_vg1,COMPLETED,"Effects applied on exit",6094.23
126,2026-07-09 10:43:55.989,PickUpHL,PickUpHL_b2_fp3_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_b2_fp3_r1; DeltaTime: 0.100",6206.06
127,2026-07-09 10:43:55.994,TravelML,TravelML_r1_ep1_fp3,STARTED,"ML action execution; DeltaTime: 0.100",6211.37
128,2026-07-09 10:43:55.994,TravelML,TravelML_r1_ep1_fp3,STARTED,"DeltaTime: 0.100",6211.46
129,2026-07-09 10:43:55.994,TravelML,TravelML_r1_ep1_fp3,COMPLETED,"Action logic completed successfully",6211.50
130,2026-07-09 10:43:55.995,TravelML,TravelML_r1_ep1_fp3,COMPLETED,"Effects applied on exit",6212.53
131,2026-07-09 10:43:56.110,PickUpHL,PickUpHL_b2_fp3_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_b2_fp3_r1; DeltaTime: 0.100",6327.23
132,2026-07-09 10:43:56.113,PickUpML,PickUpML_b2_fp3_r1_vg1,STARTED,"ML action execution; DeltaTime: 0.100",6330.58
133,2026-07-09 10:43:56.113,PickUpML,PickUpML_b2_fp3_r1_vg1,STARTED,"DeltaTime: 0.100",6330.61
134,2026-07-09 10:43:56.113,PickUpML,PickUpML_b2_fp3_r1_vg1,COMPLETED,"Action logic completed successfully",6330.62
135,2026-07-09 10:43:56.114,PickUpML,PickUpML_b2_fp3_r1_vg1,COMPLETED,"Effects applied on exit",6331.52
136,2026-07-09 10:43:56.221,PickUpHL,PickUpHL_b2_fp3_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_b2_fp3_r1; DeltaTime: 0.100",6438.54
137,2026-07-09 10:43:56.223,PickUpHL,PickUpHL_b2_fp3_r1,COMPLETED,"Subtree execution completed successfully",6440.12
138,2026-07-09 10:43:56.223,PickUpHL,PickUpHL_b2_fp3_r1,STARTED,"DeltaTime: 0.100",6440.15
139,2026-07-09 10:43:56.223,PickUpHL,PickUpHL_b2_fp3_r1,COMPLETED,"Action logic completed successfully",6440.18
140,2026-07-09 10:43:56.225,PickUpHL,PickUpHL_b2_fp3_r1,COMPLETED,"Effects applied on exit",6442.40
141,2026-07-09 10:43:56.362,StackHL,StackHL_b2_lp1_r1_pr1_lay1_m1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_StackHL_b2_lp1_r1_pr1_lay1_m1; DeltaTime: 0.100",6579.17
142,2026-07-09 10:43:57.142,TravelML,TravelML_r1_fp3_pr1,STARTED,"ML action execution; DeltaTime: 0.100",7359.68
143,2026-07-09 10:43:57.143,TravelML,TravelML_r1_fp3_pr1,STARTED,"DeltaTime: 0.100",7359.84
144,2026-07-09 10:43:57.143,TravelML,TravelML_r1_fp3_pr1,COMPLETED,"Action logic completed successfully",7359.99
145,2026-07-09 10:43:57.144,TravelML,TravelML_r1_fp3_pr1,COMPLETED,"Effects applied on exit",7361.16
146,2026-07-09 10:43:57.256,StackHL,StackHL_b2_lp1_r1_pr1_lay1_m1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_StackHL_b2_lp1_r1_pr1_lay1_m1; DeltaTime: 0.100",7473.05
147,2026-07-09 10:43:57.258,StackML,StackML_b2_lp1_r1_vg1_pr1,STARTED,"ML action execution; DeltaTime: 0.100",7474.87
148,2026-07-09 10:43:57.258,StackML,StackML_b2_lp1_r1_vg1_pr1,STARTED,"DeltaTime: 0.100",7474.90
149,2026-07-09 10:43:57.258,StackML,StackML_b2_lp1_r1_vg1_pr1,COMPLETED,"Action logic completed successfully",7474.93
150,2026-07-09 10:43:57.259,StackML,StackML_b2_lp1_r1_vg1_pr1,COMPLETED,"Effects applied on exit",7476.56
151,2026-07-09 10:43:57.365,StackHL,StackHL_b2_lp1_r1_pr1_lay1_m1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_StackHL_b2_lp1_r1_pr1_lay1_m1; DeltaTime: 0.100",7582.71
152,2026-07-09 10:43:57.367,StackHL,StackHL_b2_lp1_r1_pr1_lay1_m1,COMPLETED,"Subtree execution completed successfully",7583.97
153,2026-07-09 10:43:57.367,StackHL,StackHL_b2_lp1_r1_pr1_lay1_m1,STARTED,"DeltaTime: 0.100",7584.03
154,2026-07-09 10:43:57.367,StackHL,StackHL_b2_lp1_r1_pr1_lay1_m1,COMPLETED,"Action logic completed successfully",7584.10
155,2026-07-09 10:43:57.369,StackHL,StackHL_b2_lp1_r1_pr1_lay1_m1,COMPLETED,"Effects applied on exit",7586.17
156,2026-07-09 10:43:57.503,PickUpHL,PickUpHL_b1_fp2_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_b1_fp2_r1; DeltaTime: 0.100",7719.82
157,2026-07-09 10:43:58.276,TravelML,TravelML_r1_pr1_fp2,STARTED,"ML action execution; DeltaTime: 0.100",8493.18
158,2026-07-09 10:43:58.276,TravelML,TravelML_r1_pr1_fp2,STARTED,"DeltaTime: 0.100",8493.21
159,2026-07-09 10:43:58.276,TravelML,TravelML_r1_pr1_fp2,COMPLETED,"Action logic completed successfully",8493.25
160,2026-07-09 10:43:58.277,TravelML,TravelML_r1_pr1_fp2,COMPLETED,"Effects applied on exit",8494.48
161,2026-07-09 10:43:58.389,PickUpHL,PickUpHL_b1_fp2_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_b1_fp2_r1; DeltaTime: 0.100",8606.12
162,2026-07-09 10:43:58.392,PickUpML,PickUpML_b1_fp2_r1_vg1,STARTED,"ML action execution; DeltaTime: 0.100",8608.84
163,2026-07-09 10:43:58.392,PickUpML,PickUpML_b1_fp2_r1_vg1,STARTED,"DeltaTime: 0.100",8608.98
164,2026-07-09 10:43:58.392,PickUpML,PickUpML_b1_fp2_r1_vg1,COMPLETED,"Action logic completed successfully",8609.15
165,2026-07-09 10:43:58.394,PickUpML,PickUpML_b1_fp2_r1_vg1,COMPLETED,"Effects applied on exit",8611.09
166,2026-07-09 10:43:58.502,PickUpHL,PickUpHL_b1_fp2_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_PickUpHL_b1_fp2_r1; DeltaTime: 0.100",8719.50
167,2026-07-09 10:43:58.503,PickUpHL,PickUpHL_b1_fp2_r1,COMPLETED,"Subtree execution completed successfully",8720.74
168,2026-07-09 10:43:58.504,PickUpHL,PickUpHL_b1_fp2_r1,STARTED,"DeltaTime: 0.100",8720.83
169,2026-07-09 10:43:58.504,PickUpHL,PickUpHL_b1_fp2_r1,COMPLETED,"Action logic completed successfully",8720.86
170,2026-07-09 10:43:58.507,PickUpHL,PickUpHL_b1_fp2_r1,COMPLETED,"Effects applied on exit",8723.80
171,2026-07-09 10:43:58.636,StackHL,StackHL_b1_lp1_r1_pr1_lay1_m1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_StackHL_b1_lp1_r1_pr1_lay1_m1; DeltaTime: 0.100",8853.42
172,2026-07-09 10:43:59.559,TravelML,TravelML_r1_fp2_pr1,STARTED,"ML action execution; DeltaTime: 0.100",9776.16
173,2026-07-09 10:43:59.559,TravelML,TravelML_r1_fp2_pr1,STARTED,"DeltaTime: 0.100",9776.24
174,2026-07-09 10:43:59.559,TravelML,TravelML_r1_fp2_pr1,COMPLETED,"Action logic completed successfully",9776.38
175,2026-07-09 10:43:59.560,TravelML,TravelML_r1_fp2_pr1,COMPLETED,"Effects applied on exit",9777.60
